Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Jakobi Meyers (14061084),Jakobi Meyers,14061084,WR/FLEX,3100,TEN@NE 01/04/2020 08:15PM ET,NE,4.13
RB,Patrick DiMarco (14060998),Patrick DiMarco,14060998,RB/FLEX,3000,BUF@HOU 01/04/2020 04:35PM ET,BUF,0.61
RB,Cullen Gillaspia (14061000),Cullen Gillaspia,14061000,RB/FLEX,3000,BUF@HOU 01/04/2020 04:35PM ET,HOU,0
WR,Robert Foster (14061090),Robert Foster,14061090,WR/FLEX,3000,BUF@HOU 01/04/2020 04:35PM ET,BUF,0.95
TE,Darren Fells (14061128),Darren Fells,14061128,TE/FLEX,3000,BUF@HOU 01/04/2020 04:35PM ET,HOU,6.88
RB,Ricky Ortiz (14061008),Ricky Ortiz,14061008,RB/FLEX,3000,MIN@NO 01/05/2020 01:05PM ET,NO,1.8
RB,Zach Line (14061010),Zach Line,14061010,RB/FLEX,3000,MIN@NO 01/05/2020 01:05PM ET,NO,0.97
WR,Laquon Treadwell (14061102),Laquon Treadwell,14061102,WR/FLEX,3000,MIN@NO 01/05/2020 01:05PM ET,MIN,2.57
WR,Chad Beebe (14061104),Chad Beebe,14061104,WR/FLEX,3000,MIN@NO 01/05/2020 01:05PM ET,MIN,3
WR,Lil'Jordan Humphrey (14061108),Lil'Jordan Humphrey,14061108,WR/FLEX,3000,MIN@NO 01/05/2020 01:05PM ET,NO,0
DST,Saints  (14061172),Saints ,14061172,DST,3000,MIN@NO 01/05/2020 01:05PM ET,NO,8.94
RB,Nick Bellore (14061012),Nick Bellore,14061012,RB/FLEX,3000,SEA@PHI 01/05/2020 04:40PM ET,SEA,0.74
WR,Jaron Brown (14061110),Jaron Brown,14061110,WR/FLEX,3000,SEA@PHI 01/05/2020 04:40PM ET,SEA,3.5
WR,John Ursua (14061112),John Ursua,14061112,WR/FLEX,3000,SEA@PHI 01/05/2020 04:40PM ET,SEA,0.7
RB,Khari Blasingame (14061002),Khari Blasingame,14061002,RB/FLEX,3000,TEN@NE 01/04/2020 08:15PM ET,TEN,1.57
RB,Damien Harris (14061004),Damien Harris,14061004,RB/FLEX,3000,TEN@NE 01/04/2020 08:15PM ET,NE,0.6
RB,James Develin (14061006),James Develin,14061006,RB/FLEX,3000,TEN@NE 01/04/2020 08:15PM ET,NE,0.15
WR,Adam Humphries (14061092),Adam Humphries,14061092,WR/FLEX,3000,TEN@NE 01/04/2020 08:15PM ET,TEN,7.21
WR,Kalif Raymond (14061094),Kalif Raymond,14061094,WR/FLEX,3000,TEN@NE 01/04/2020 08:15PM ET,TEN,3.81
WR,Cody Hollister (14061096),Cody Hollister,14061096,WR/FLEX,3000,TEN@NE 01/04/2020 08:15PM ET,TEN,0.66
WR,Rashard Davis (14061098),Rashard Davis,14061098,WR/FLEX,3000,TEN@NE 01/04/2020 08:15PM ET,TEN,2.6
WR,Darius Jennings (14061100),Darius Jennings,14061100,WR/FLEX,3000,TEN@NE 01/04/2020 08:15PM ET,TEN,0.46
WR,Matthew Slater (14061106),Matthew Slater,14061106,WR/FLEX,3000,TEN@NE 01/04/2020 08:15PM ET,NE,0
TE,Dawson Knox (14061130),Dawson Knox,14061130,TE/FLEX,2900,BUF@HOU 01/04/2020 04:35PM ET,BUF,5.31
TE,Joshua Perkins (14061132),Joshua Perkins,14061132,TE/FLEX,2900,SEA@PHI 01/05/2020 04:40PM ET,PHI,4.74
DST,Eagles  (14061173),Eagles ,14061173,DST,2900,SEA@PHI 01/05/2020 04:40PM ET,PHI,7.06
TE,Tyler Kroft (14061134),Tyler Kroft,14061134,TE/FLEX,2800,BUF@HOU 01/04/2020 04:35PM ET,BUF,1.74
TE,Jordan Akins (14061136),Jordan Akins,14061136,TE/FLEX,2800,BUF@HOU 01/04/2020 04:35PM ET,HOU,5.61
DST,Seahawks  (14061174),Seahawks ,14061174,DST,2800,SEA@PHI 01/05/2020 04:40PM ET,SEA,7.75
TE,Irv Smith Jr. (14061140),Irv Smith Jr.,14061140,TE/FLEX,2700,MIN@NO 01/05/2020 01:05PM ET,MIN,4.94
TE,MyCole Pruitt (14061138),MyCole Pruitt,14061138,TE/FLEX,2700,TEN@NE 01/04/2020 08:15PM ET,TEN,1.31
TE,Ben Watson (14061142),Ben Watson,14061142,TE/FLEX,2700,TEN@NE 01/04/2020 08:15PM ET,NE,3.43
